user_id,user_gender,user_age,buy_count,cheese_texture,cheese_one_price,age_group,cheese_category_code,cheese_texture_code
5531018,0,30,1,후레쉬치즈,"3,990원",1.0,1,1
5415729,1,20,1,후레쉬치즈,"3,990원",,1,1
689810,1,30,5,후레쉬치즈,"3,870원",1.0,1,1
3795349,1,40,3,후레쉬치즈,"3,870원",2.0,1,1
1872589,1,30,4,후레쉬치즈,"3,990원",1.0,1,1
1812512,1,50,1,후레쉬치즈,"4,600원",3.0,1,1
292355,0,40,2,후레쉬치즈,"6,860원",2.0,3,1
159786,1,30,10,후레쉬치즈,"14,900원",1.0,11,1
5415666,1,40,1,세미하드치즈,"5,500원",2.0,10,2
1902156,1,30,2,후레쉬치즈,"3,900원",1.0,1,1
335654,0,40,1,후레쉬치즈,"7,900원",2.0,11,1
6033980,1,30,1,소프트치즈,"4,165원",1.0,8,4
6319223,0,40,1,소프트치즈,"12,950원",2.0,8,4
694090,1,30,6,후레쉬치즈,"14,900원",1.0,11,1
480575,1,40,1,하드치즈,"7,900원",2.0,5,3
4929903,1,30,1,후레쉬치즈,"14,900원",1.0,11,1
5451038,1,30,2,세미하드치즈,"5,500원",1.0,10,2
532336,0,40,3,후레쉬치즈,"11,900원",2.0,3,1
2293074,1,40,4,세미하드치즈,"5,500원",2.0,10,2
5892631,1,30,2,후레쉬치즈,"3,870원",1.0,1,1
1711871,1,30,5,후레쉬치즈,"4,600원",1.0,3,1
2405788,1,30,1,소프트치즈,"7,500원",1.0,2,4
4461966,1,30,3,후레쉬치즈,"14,900원",1.0,11,1
5601770,0,30,1,후레쉬치즈,"6,860원",1.0,3,1
2814306,1,30,1,후레쉬치즈,"8,900원",1.0,1,1
225205,0,40,2,후레쉬치즈,"3,870원",2.0,1,1
5549378,1,30,1,후레쉬치즈,"15,900원",1.0,1,1
4161457,1,40,4,후레쉬치즈,"14,900원",2.0,11,1
6568786,1,40,1,소프트치즈,"4,165원",2.0,8,4
3383282,1,20,1,후레쉬치즈,"14,900원",,11,1
2914027,1,20,1,후레쉬치즈,"5,500원",,1,1
6482488,0,30,1,후레쉬치즈,"6,860원",1.0,3,1
4462851,1,50,1,후레쉬치즈,"6,600원",3.0,11,1
5142708,1,40,1,후레쉬치즈,"7,900원",2.0,11,1
